counter,timestamp,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,crc
55,70,45355,45352,45368,45361,45357,45357,56,51,39275
56,69,45355,45351,45368,45362,45358,45357,56,51,32737
57,76,45356,45351,45368,45363,45359,45357,56,51,18866
58,70,45354,45352,45368,45361,45358,45356,56,51,26403
59,70,45355,45351,45367,45361,45358,45356,56,51,31140
60,69,45354,45351,45368,45362,45358,45357,56,51,14930
61,70,45355,45351,45368,45361,45359,45357,54,52,6075
62,70,45355,45350,45368,45362,45359,45357,56,51,65199
63,69,45354,45350,45368,45361,45358,45357,56,52,15172
64,70,45355,45351,45368,45362,45357,45357,56,52,43622
65,70,45354,45351,45368,45361,45358,45357,57,51,31049
66,70,45355,45351,45368,45362,45358,45357,56,52,54687
67,69,45356,45350,45368,45361,45358,45357,56,51,48950
68,70,45355,45351,45368,45362,45358,45357,56,51,23126
69,70,45354,45351,45369,45362,45358,45357,55,52,47158
70,69,45355,45350,45367,45362,45357,45357,55,51,55292
71,70,45355,45352,45368,45363,45358,45357,56,52,24558
72,76,45354,45352,45369,45361,45358,45357,55,52,47513
73,70,45355,45350,45367,45362,45359,45357,56,52,55625
74,69,45355,45350,45369,45361,45358,45356,55,52,50227
75,70,45354,45351,45369,45362,45358,45357,57,52,1304
76,70,45355,45352,45368,45361,45358,45357,56,50,8271
77,70,45354,45350,45368,45362,45358,45357,56,52,17455
78,69,45356,45351,45368,45361,45359,45357,56,52,10301
79,70,45355,45352,45368,45362,45357,45357,56,52,25880
80,70,45355,45352,45369,45362,45358,45358,56,51,58651
81,69,45355,45351,45369,45363,45358,45356,56,52,23391
82,70,45355,45351,45368,45362,45357,45356,55,51,40978
83,70,45354,45351,45369,45362,45357,45357,57,51,24432
84,70,45355,45352,45369,45360,45358,45357,56,51,51656
85,69,45355,45351,45368,45362,45357,45358,56,52,32704
86,76,45354,45350,45368,45363,45358,45356,56,51,19243
87,70,45355,45350,45368,45362,45358,45356,57,53,31868
88,70,45354,45352,45367,45362,45358,45357,56,52,19414
89,69,45355,45352,45370,45362,45358,45356,56,52,32738
90,70,45354,45352,45368,45362,45358,45357,56,51,1401
91,70,45355,45352,45369,45362,45357,45356,57,52,52058
92,69,45354,45352,45369,45362,45358,45356,56,52,43784
93,70,45354,45350,45368,45362,45358,45357,55,52,50657
94,70,45354,45351,45368,45362,45357,45357,56,52,64070
95,70,45354,45351,45368,45362,45357,45358,56,51,27673
96,69,45355,45351,45367,45362,45358,45357,57,52,4078
97,70,45355,45352,45368,45362,45358,45357,57,50,4847
98,70,45356,45351,45369,45362,45357,45358,56,52,27129
99,69,45355,45351,45368,45363,45358,45357,56,52,56654
100,75,45357,45352,45368,45361,45359,45357,56,52,29533
101,70,45355,45351,45370,45361,45357,45358,56,51,19163
102,70,45355,45352,45368,45362,45358,45357,56,51,21625
103,69,45354,45352,45367,45362,45358,45357,56,51,30389
104,70,45355,45351,45369,45363,45359,45357,56,51,50231
105,70,45354,45351,45369,45362,45359,45358,56,51,14330
106,70,45355,45351,45368,45363,45358,45356,56,52,16561
107,69,45355,45351,45369,45362,45358,45357,56,51,263
108,70,45355,45352,45369,45362,45359,45356,56,51,2586
109,70,45355,45352,45369,45362,45358,45358,55,52,38278
110,69,45355,45351,45368,45362,45358,45358,55,52,38356
111,70,45355,45352,45368,45362,45358,45357,57,51,55234
112,70,45355,45351,45367,45362,45359,45357,55,52,36260
113,70,45355,45352,45369,45362,45359,45357,56,52,54300
114,69,45356,45351,45367,45362,45358,45358,57,51,49626
115,76,45354,45352,45368,45361,45358,45357,56,51,46386
116,70,45355,45352,45369,45362,45358,45358,55,52,32753
117,70,45354,45352,45367,45362,45359,45357,55,52,21061
118,69,45355,45352,45369,45363,45358,45357,56,52,50270
119,70,45356,45351,45369,45362,45358,45356,56,52,19290
120,70,45355,45351,45368,45362,45358,45357,56,52,43925
121,69,45356,45352,45367,45362,45358,45358,57,51,56278
122,70,45355,45350,45368,45363,45358,45357,56,52,50557
123,70,45355,45352,45369,45364,45358,45357,54,52,28513
124,70,45355,45351,45368,45362,45358,45357,56,52,32487
125,69,45354,45353,45368,45363,45359,45357,56,51,49058
126,70,45354,45352,45368,45362,45359,45357,56,51,30547
127,70,45354,45351,45368,45362,45359,45357,56,51,60673
128,69,45356,45351,45369,45362,45357,45356,55,52,38090
129,76,45356,45351,45368,45362,45359,45357,56,51,30263
130,70,45355,45352,45368,45362,45358,45357,55,51,51140
131,70,45355,45352,45368,45362,45358,45358,57,51,35227
132,69,45356,45352,45367,45362,45358,45358,56,52,31260
133,70,45355,45350,45369,45362,45357,45358,57,52,7904
134,70,45354,45351,45369,45362,45358,45357,55,50,56964
135,70,45355,45351,45369,45362,45357,45357,57,52,34393
136,69,45354,45351,45369,45362,45358,45358,56,52,16364
137,70,45354,45351,45368,45362,45359,45358,56,52,38601
138,70,45355,45351,45369,45362,45358,45357,56,52,50640
139,69,45355,45351,45369,45362,45359,45356,56,51,19979
140,70,45356,45350,45369,45361,45359,45357,56,51,31338
141,70,45356,45352,45369,45362,45358,45357,57,52,11786
142,70,45357,45351,45369,45362,45358,45356,56,51,21282
143,75,45355,45351,45369,45362,45358,45357,57,51,21969
144,69,45355,45352,45368,45363,45358,45358,56,52,55716
145,70,45355,45352,45367,45363,45358,45357,55,51,31912
146,70,45356,45351,45368,45361,45358,45358,57,51,48054
147,70,45355,45352,45368,45361,45358,45356,56,51,3494
148,69,45355,45351,45368,45362,45357,45357,56,52,57544
149,70,45355,45351,45369,45361,45359,45357,57,51,40798
150,70,45356,45352,45368,45362,45358,45359,56,52,29497
151,69,45355,45352,45369,45362,45358,45357,57,52,15007
152,70,45355,45351,45369,45362,45357,45357,57,52,54245
153,70,45355,45351,45368,45363,45358,45356,54,51,41044
154,70,45356,45351,45368,45362,45358,45357,56,52,41378
155,69,45355,45352,45367,45362,45359,45356,56,52,13090
156,70,45354,45352,45368,45363,45359,45357,56,51,35447
157,76,45355,45352,45368,45362,45357,45356,56,52,55712
158,70,45354,45351,45368,45362,45359,45357,56,50,47761
159,69,45354,45351,45369,45362,45358,45357,56,51,33717
160,70,45354,45351,45368,45361,45358,45357,56,52,29403
161,70,45355,45352,45368,45362,45359,45358,57,52,29816
162,69,45356,45351,45369,45362,45359,45357,56,51,47467
163,70,45355,45351,45369,45361,45359,45358,56,51,4544
164,70,45354,45352,45369,45363,45358,45358,56,51,41720
165,70,45355,45351,45369,45362,45358,45356,56,51,36667
166,69,45356,45352,45368,45362,45358,45357,56,51,27690
167,70,45355,45351,45368,45362,45357,45356,56,51,13119
168,70,45355,45351,45369,45362,45357,45356,56,52,177
169,69,45355,45352,45369,45362,45358,45358,57,52,41703
170,70,45357,45351,45367,45362,45358,45358,56,51,55329
171,70,45354,45351,45369,45363,45358,45358,56,51,28038
172,76,45355,45351,45369,45363,45358,45358,57,52,45130
173,69,45355,45351,45369,45363,45359,45357,56,51,36361
174,70,45355,45351,45369,45361,45358,45358,57,52,48074
175,70,45356,45352,45368,45363,45358,45358,56,53,30342
176,70,45356,45352,45369,45362,45359,45358,55,52,27989
