counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
20693,862,32777,32802,32704,32779,32781,32783,28095,290
20694,865,32776,32834,32671,32778,32781,32783,28092,288
20695,866,32779,32800,32727,32780,32780,32784,28096,282
20696,865,32776,32783,32710,32779,32779,32784,28095,292
20697,862,32776,32786,32682,32780,32782,32780,28103,289
20698,866,32777,32759,32737,32779,32781,32782,28097,285
20699,866,32776,32748,32708,32779,32781,32782,28095,290
20700,863,32776,32777,32648,32778,32782,32782,28098,299
20701,863,32776,32791,32729,32780,32780,32784,28094,291
20702,866,32776,32826,32722,32779,32780,32782,28094,287
20703,866,32777,32806,32645,32779,32780,32784,28096,284
20704,865,32776,32812,32726,32780,32780,32783,28094,283
20705,865,32776,32833,32717,32778,32781,32783,28097,287
20706,866,32777,32828,32668,32779,32778,32783,28099,288
20707,868,32775,32810,32722,32778,32781,32782,28096,293
20708,866,32778,32811,32708,32778,32781,32782,28097,291
20709,869,32777,32837,32677,32778,32780,32783,28096,288
20710,865,32777,32816,32718,32778,32780,32783,28100,288
20711,866,32776,32825,32742,32779,32781,32783,28098,287
20712,865,32777,32801,32685,32778,32780,32782,28099,287
20713,870,32777,32821,32688,32778,32781,32783,28099,289
20714,866,32776,32796,32741,32779,32780,32783,28098,288
20715,866,32777,32790,32700,32779,32782,32782,28099,286
20716,866,32777,32767,32664,32778,32781,32782,28104,283
20717,866,32777,32767,32731,32778,32780,32782,28096,293
20718,865,32776,32774,32681,32780,32781,32783,28093,291
20719,4941,32776,32830,32699,32779,32779,32784,28098,288
20720,864,32778,32838,32705,32779,32781,32783,28099,288
20721,866,32776,32801,32748,32778,32780,32782,28098,287
20722,866,32777,32808,32700,32779,32781,32783,28099,287
20723,866,32776,32787,32692,32780,32780,32782,28099,288
20724,866,32776,32771,32748,32780,32779,32783,28100,288
20725,865,32776,32803,32697,32779,32780,32782,28098,289
20726,865,32776,32801,32679,32778,32780,32782,28097,288
20727,866,32777,32812,32742,32778,32781,32781,28098,286
20728,866,32776,32815,32704,32779,32781,32782,28100,288
20729,865,32776,32847,32676,32778,32781,32782,28099,287
20730,866,32775,32834,32748,32780,32780,32782,28098,288
20731,862,32777,32832,32698,32778,32781,32782,28099,287
20732,866,32777,32824,32686,32777,32781,32783,28101,288
20733,866,32776,32821,32750,32779,32780,32782,28099,287
20734,871,32777,32798,32700,32780,32779,32784,28095,289
20735,866,32776,32805,32655,32780,32780,32784,28097,283
20736,866,32776,32806,32757,32778,32781,32782,28098,287
20737,864,32776,32806,32725,32780,32779,32783,28099,288
20738,866,32776,32805,32675,32779,32780,32782,28098,288
20739,866,32777,32799,32755,32778,32781,32782,28100,288
20740,865,32777,32783,32734,32779,32781,32782,28099,287
20741,866,32777,32787,32680,32778,32781,32782,28099,288
20742,866,32777,32804,32754,32779,32781,32782,28100,288
20743,864,32776,32819,32731,32780,32781,32783,28098,288
20744,866,32776,32793,32643,32779,32780,32784,28102,283
20745,866,32775,32811,32727,32780,32781,32783,28094,287
20746,866,32776,32815,32734,32779,32781,32782,28090,287
20747,868,32775,32816,32656,32779,32781,32782,28097,291
20748,866,32777,32803,32705,32779,32782,32783,28098,291
20749,872,32774,32792,32730,32780,32782,32782,28105,291
20750,866,32778,32799,32679,32778,32781,32782,28096,284
20751,865,32776,32794,32669,32778,32780,32782,28094,292
20752,864,32778,32798,32733,32778,32781,32782,28098,296
20753,866,32778,32794,32678,32778,32782,32782,28097,283
20754,866,32776,32805,32683,32779,32781,32783,28094,286
20755,864,32777,32793,32750,32778,32781,32784,28099,288
20756,866,32776,32777,32702,32779,32780,32782,28100,288
20757,865,32776,32772,32682,32778,32780,32783,28098,288
20758,866,32777,32773,32737,32779,32779,32783,28100,288
20759,866,32777,32774,32710,32778,32780,32783,28098,288
20760,865,32777,32776,32673,32779,32781,32783,28099,288
20761,866,32777,32811,32759,32778,32781,32782,28100,287
20762,866,32777,32819,32704,32778,32780,32781,28099,288
20763,866,32777,32827,32664,32778,32780,32782,28099,287
20764,871,32776,32825,32750,32780,32781,32783,28099,289
20765,866,32776,32820,32730,32779,32780,32783,28098,287
20766,865,32777,32831,32667,32779,32781,32783,28099,289
