SoC,OCV
0.405,45.274634471742296
0.406,45.27688886819351
0.407,45.27913778069958
0.408,45.281381236181076
0.409,45.283619261360805
0.41,45.28585188276586
0.411,45.28807912672944
0.412,45.290301019392786
0.413,45.292517586707
0.414,45.294728854434894
0.415,45.29693484815286
0.416,45.299135593252586
0.417,45.30133111494287
0.418,45.3035214382514
0.419,45.30570658802642
0.42,45.30788658893845
0.421,45.31006146548209
0.422,45.31223124197752
0.423,45.31439594257226
0.424,45.31655559124278
0.425,45.31871021179608
0.426,45.32085982787136
0.427,45.32300446294146
0.428,45.32514414031456
0.429,45.327278883135655
0.43,45.32940871438805
0.431,45.33153365689489
0.432,45.33365373332065
0.433,45.3357689661726
0.434,45.337879377802246
0.435,45.339984990406755
0.436,45.34208582603039
0.437,45.344181906565936
0.438,45.346273253756
0.439,45.3483598891945
0.44,45.35044183432791
0.441,45.352519110456655
0.442,45.354591738736424
0.443,45.35665974017948
0.444,45.35872313565596
0.445,45.36078194589513
0.446,45.362836191486664
0.447,45.364885892881894
0.448,45.366931070395076
0.449,45.36897174420455
0.45,45.371007934354
0.451,45.373039660753626
0.452,45.37506694318134
0.453,45.37708980128394
0.454,45.37910825457822
0.455,45.381122322452185
0.456,45.383132024166166
0.457,45.38513737885384
0.458,45.3871384055235
0.459,45.38913512305902
0.46,45.39112755022101
0.461,45.39311570564783
0.462,45.395099607856714
0.463,45.39707927524477
0.464,45.39905472609002
0.465,45.40102597855244
0.466,45.40299305067499
0.467,45.404955960384584
0.468,45.40691472549309
0.469,45.40886936369832
0.47,45.410819892585025
0.471,45.4127663296258
0.472,45.41470869218208
0.473,45.41664699750507
0.474,45.41858126273669
0.475,45.420511504910436
0.476,45.42243774095239
0.477,45.424359987682045
0.478,45.42627826181321
0.479,45.428192579954924
0.48,45.4301029586123
0.481,45.432009414187405
0.482,45.43391196298012
0.483,45.435810621188956
0.484,45.437705404911945
0.485,45.43959633014743
0.486,45.44148341279489
0.487,45.44336666865576
0.488,45.445246113434244
0.489,45.4471217627381
0.49,45.44899363207942
0.491,45.45086173687543
0.492,45.45272609244926
0.493,45.454586714030704
0.494,45.45644361675693
0.495,45.458296815673336
0.496,45.460146325734165
0.497,45.46199216180337
0.498,45.46383433865521
0.499,45.46567287097507
0.5,45.46750777336012
0.501,45.46933906032004
0.502,45.471166746277696
0.503,45.47299084556986
0.504,45.474811372447896
0.505,45.476628341078396
0.506,45.47844176554389
0.507,45.480251659843496
0.508,45.48205803789357
0.509,45.48386091352839
0.51,45.48566030050075
0.511,45.48745621248264
0.512,45.48924866306584
0.513,45.49103766576258
0.514,45.492823234006195
0.515,45.4946053811516
0.516,45.49638412047606
0.517,45.49815946517971
0.518,45.499931428386134
0.519,45.501700023143
0.52,45.50346526242265
0.521,45.50522715912261
0.522,45.50698572606627
0.523,45.50874097600334
0.524,45.510492921610485
0.525,45.51224157549188
0.526,45.51398695017972
0.527,45.51572905813481
0.528,45.51746791174706
0.529,45.519203523336074
0.53,45.520935905151674
0.531,45.52266506937436
0.532,45.52439102811591
0.533,45.52611379341987
0.534,45.52783337726205
0.535,45.52954979155104
0.536,45.53126304812873
0.537,45.53297315877079
0.538,45.534680135187145
0.539,45.53638398902251
0.54,45.53808473185683
0.541,45.53978237520578
0.542,45.54147693052125
0.543,45.54316840919178
0.544,45.54485682254305
0.545,45.54654218183837
0.546,45.548224498279076
0.547,45.549903783005
0.548,45.55158004709498
0.549,45.553253301567224
0.55,45.5549235573798
0.551,45.556590825431066
0.552,45.55825511656006
0.553,45.55991644154702
0.554,45.56157481111371
0.555,45.56323023592389
0.556,45.56488272658377
0.557,45.56653229364233
0.558,45.56817894759182
0.559,45.569822698868116
0.56,45.57146355785115
0.561,45.57310153486527
0.562,45.574736640179715
0.563,45.576368884008886
0.564,45.57799827651285
0.565,45.57962482779767
0.566,45.58124854791579
0.567,45.58286944686642
0.568,45.584487534595915
0.569,45.58610282099814
0.57,45.587715315914856
0.571,45.589325029136035
0.572,45.5909319704003
0.573,45.592536149395194
0.574,45.59413757575762
0.575,45.59573625907419
0.576,45.59733220888144
0.577,45.59892543466638
0.578,45.60051594586669
0.579,45.602103751871105
0.58,45.60368886201979
0.581,45.60527128560458
0.582,45.60685103186943
0.583,45.608428110010685
0.584,45.61000252917736
0.585,45.61157429847155
0.586,45.61314342694871
0.587,45.61470992361795
0.588,45.616273797442425
0.589,45.61783505733953
0.59,45.619393712181356
0.591,45.62094977079485
0.592,45.622503241962235
0.593,45.62405413442124
0.594,45.625602456865465
0.595,45.627148217944594
0.596,45.62869142626476
0.597,45.63023209038881
0.598,45.631770218836586
0.599,45.63330582008526
0.6,45.634838902569534
0.601,45.636369474682
0.602,45.637897544773395
0.603,45.63942312115285
0.604,45.64094621208824
0.605,45.64246682580633
0.606,45.64398497049321
0.607,45.645500654294416
0.608,45.6470138853153
0.609,45.64852467162123
0.61,45.650033021237874
0.611,45.65153894215148
0.612,45.65304244230911
0.613,45.65454352961887
0.614,45.656042211950236
0.615,45.65753849713427
0.616,45.65903239296382
