SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
79.984,0.03973210834388954,0.016334578529057793,0.008262871741415018,3345.7494536153117,65040.156522718484,54.65140718863152,537.4184713887802,0.41995430429658787,0.20476945154974324
79.985,0.039731890515262346,0.01633461771511882,0.008262744085730186,3345.7549847838072,65041.98244852325,54.651628644896675,537.4252558007021,0.41995655039222934,0.2047669620032973
79.986,0.03973167269663497,0.016334656885831137,0.008262616422435119,3345.7605209002354,65043.808448644806,54.651850131065004,537.4320398654967,0.41995879642899997,0.20476447210702725
79.987,0.039731454888009714,0.016334696041193468,0.008262488751530201,3345.7660619649755,65045.634523081615,54.65207164713875,537.4388235831063,0.41996104240689486,0.20476198186091918
79.988,0.03973123708938886,0.016334735181204547,0.008262361073015811,3345.771607978406,65047.4606718323,54.65229319312017,537.4456069534741,0.41996328832590946,0.20475949126495907
79.989,0.0397310193007747,0.016334774305863112,0.008262233386892338,3345.777158940901,65049.28689489533,54.65251476901151,537.4523899765425,0.4199655341860389,0.20475700031913296
79.99,0.03973080152216953,0.016334813415167893,0.008262105693160167,3345.7827148528404,65051.11319226919,54.65273637481503,537.4591726522538,0.41996777998727836,0.204754509023427
79.991,0.039730583753575646,0.01633485250911762,0.008261977991819675,3345.788275714602,65052.93956395251,54.652958010532984,537.465954980551,0.4199700257296233,0.20475201737782714
79.992,0.039730365994995326,0.01633489158771103,0.00826185028287125,3345.7938415265626,65054.76600994375,54.65317967616762,537.4727369613768,0.41997227141306875,0.20474952538231947
79.993,0.03973014824643088,0.016334930650946853,0.008261722566315279,3345.7994122891,65056.592530241396,54.65340137172119,537.4795185946733,0.41997451703761013,0.20474703303689007
79.994,0.039729930507884585,0.016334969698823823,0.008261594842152139,3345.8049880025924,65058.41912484406,54.653623097195954,537.4862998803837,0.4199767626032427,0.20474454034152495
79.995,0.03972971277935874,0.016335008731340674,0.008261467110382219,3345.810568667417,65060.245793750204,54.65384485259416,537.4930808184504,0.4199790081099616,0.20474204729621012
79.996,0.03972949506085564,0.016335047748496135,0.008261339371005903,3345.816154283952,65062.07253695834,54.65406663791807,537.4998614088158,0.41998125355776206,0.20473955390093174
79.997,0.03972927735237757,0.016335086750288937,0.008261211624023573,3345.821744852576,65063.899354467016,54.654288453169926,537.5066416514228,0.41998349894663944,0.20473706015567578
79.998,0.039729059653926826,0.01633512573671782,0.008261083869435613,3345.8273403736653,65065.72624627478,54.654510298351994,537.513421546214,0.4199857442765891,0.20473456606042828
79.999,0.03972884196550571,0.016335164707781513,0.008260956107242411,3345.832940847598,65067.55321238009,54.65473217346651,537.5202010931318,0.41998798954760597,0.20473207161517537
80.0,0.0397286242871165,0.016335203663478747,0.008260828337444346,3345.838546274753,65069.3802527815,54.65495407851575,537.526980292119,0.41999023475968555,0.204729576819903
80.001,0.039728406618761494,0.016335242603808253,0.008260700560041806,3345.844156655508,65071.20736747753,54.65517601350195,537.5337591431181,0.4199924799128231,0.2047270816745973
80.002,0.03972818896044299,0.01633528152876877,0.008260572775035176,3345.8497719902407,65073.034556466664,54.655397978427374,537.5405376460717,0.41999472500701374,0.20472458617924433
80.003,0.039727971312163275,0.016335320438359023,0.008260444982424835,3345.855392279329,65074.861819747486,54.65561997329427,537.5473158009225,0.41999697004225284,0.20472209033383004
80.004,0.03972775367392464,0.016335359332577747,0.008260317182211173,3345.8610175231524,65076.689157318455,54.655841998104904,537.5540936076131,0.4199992150185356,0.20471959413834057
80.005,0.03972753604572939,0.016335398211423675,0.008260189374394572,3345.8666477220872,65078.51656917808,54.65606405286151,537.5608710660858,0.42000145993585725,0.20471709759276197
80.006,0.03972731842757981,0.016335437074895542,0.008260061558975415,3345.872282876512,65080.34405532493,54.65628613756636,537.5676481762837,0.4200037047942131,0.20471460069708022
80.007,0.039727100819478195,0.016335475922992074,0.008259933735954088,3345.877922986806,65082.17161575752,54.6565082522217,537.5744249381491,0.4200059495935984,0.20471210345128144
80.008,0.03972688322142684,0.01633551475571201,0.008259805905330979,3345.8835680533466,65083.999250474284,54.656730396829786,537.5812013516245,0.42000819433400827,0.20470960585535167
80.009,0.03972666563342803,0.016335553573054076,0.008259678067106466,3345.889218076512,65085.82695947382,54.65695257139287,537.5879774166526,0.42001043901543816,0.2047071079092769
80.01,0.039726448055484066,0.016335592375017007,0.008259550221280937,3345.8948730566813,65087.65474275462,54.65717477591322,537.5947531331761,0.42001268363788324,0.20470460961304326
80.011,0.03972623048759724,0.016335631161599536,0.008259422367854779,3345.900532994232,65089.482600315154,54.65739701039307,537.6015285011374,0.42001492820133873,0.20470211096663676
80.012,0.03972601292976985,0.016335669932800393,0.008259294506828371,3345.906197889543,65091.310532154,54.65761927483469,537.6083035204792,0.42001717270579997,0.2046996119700435
80.013,0.039725795382004186,0.016335708688618313,0.0082591666382021,3345.9118677429924,65093.13853826966,54.657841569240325,537.6150781911442,0.4200194171512621,0.2046971126232494
80.014,0.03972557784430254,0.016335747429052024,0.008259038761976355,3345.917542554959,65094.966618660575,54.65806389361224,537.6218525130746,0.4200216615377204,0.2046946129262407
80.015,0.039725360316667215,0.01633578615410026,0.008258910878151515,3345.923222325822,65096.79477332534,54.65828624795268,537.6286264862133,0.42002390586517024,0.2046921128790033
80.016,0.03972514279910049,0.016335824863761752,0.008258782986727968,3345.9289070559585,65098.62300226242,54.65850863226391,537.6354001105028,0.4200261501336068,0.20468961248152326
80.017,0.03972492529160468,0.016335863558035235,0.008258655087706098,3345.9345967457475,65100.45130547033,54.658731046548176,537.6421733858856,0.42002839434302525,0.20468711173378676
80.018,0.03972470779418206,0.01633590223691944,0.008258527181086288,3345.9402913955682,65102.279682947614,54.65895349080774,537.6489463123045,0.4200306384934209,0.2046846106357797
80.019,0.03972449030683493,0.016335940900413095,0.008258399266868926,3345.9459910057985,65104.10813469274,54.65917596504485,537.6557188897018,0.4200328825847891,0.2046821091874882
80.02,0.03972427282956559,0.016335979548514935,0.008258271345054396,3345.951695576818,65105.93666070421,54.659398469261774,537.6624911180201,0.42003512661712505,0.20467960738889832
