SoC,R0,R1,R2,C1,C2,A1,A2
90.186,0.1782529546165571,-0.07378866803969993,0.02077591818607796,-701.3723522893167,21833.247779366782,0.2792415775949763,-1.100088125964553
90.187,0.17826077517938776,-0.07379307852248176,0.020777359764856226,-701.3297764322954,21831.77384433772,0.2792315453706454,-1.1001375749779254
90.188,0.17826859605281636,-0.07379748915732576,0.020778801425633448,-701.2872042736618,21830.300030752245,0.27922151279713564,-1.1001870251960484
90.18900000000001,0.1782764172368505,-0.07380189994423512,0.020780243168412187,-701.2446358129911,21828.82633859999,0.27921147987444245,-1.1002364766189352
90.19,0.17828423873149768,-0.07380631088321303,0.02078168499319502,-701.2020710498582,21827.352767870583,0.2792014466025611,-1.1002859292465998
90.191,0.17829206053676577,-0.07381072197426287,0.020783126899984586,-701.1595099838366,21825.879318553572,0.27919141298148653,-1.100335383079057
90.19200000000001,0.1782998826526624,-0.07381513321738782,0.02078456888878345,-701.1169526145015,21824.40599063859,0.2791813790112141,-1.1003848381163206
90.193,0.17830770507919508,-0.07381954461259105,0.02078601095959418,-701.0743989414286,21822.93278411526,0.2791713446917391,-1.1004342943584045
90.194,0.17831552781637167,-0.073823956159876,0.020787453112419422,-701.0318489641904,21821.45969897314,0.27916131002305644,-1.1004837518053232
90.19500000000001,0.17832335086419976,-0.07382836785924579,0.020788895347261725,-700.9893026823635,21819.986735201885,0.27915127500516146,-1.1005332104570908
90.196,0.1783311742226869,-0.07383277971070366,0.020790337664123675,-700.9467600955226,21818.5138927911,0.2791412396380495,-1.1005826703137207
90.197,0.17833899789184093,-0.07383719171425297,0.020791780063007907,-700.9042212032416,21817.041171730347,0.2791312039217154,-1.100632131375228
90.19800000000001,0.17834682187166945,-0.07384160386989691,0.02079322254391699,-700.8616860050964,21815.568572009262,0.2791211678561547,-1.1006815936416268
90.199,0.17835464616217994,-0.07384601617763865,0.020794665106853495,-700.8191545006626,21814.09609361748,0.27911113144136246,-1.1007310571129298
90.2,0.17836247076338035,-0.07385042863748163,0.02079610775182005,-700.7766266895136,21812.623736544578,0.2791010946773338,-1.1007805217891533
90.20100000000001,0.17837029567527823,-0.07385484124942898,0.02079755047881923,-700.7341025712258,21811.151500780164,0.27909105756406394,-1.1008299876703103
90.202,0.17837812089788113,-0.07385925401348391,0.020798993287853604,-700.6915821453748,21809.679386313892,0.2790810201015482,-1.100879454756414
90.203,0.17838594643119687,-0.07386366692964978,0.02080043617892581,-700.649065411535,21808.20739313532,0.2790709822897816,-1.1009289230474801
90.20400000000001,0.17839377227523306,-0.07386807999792981,0.02080187915203842,-700.606552369282,21806.735521234084,0.27906094412875937,-1.1009783925435224
90.205,0.17840159842999725,-0.07387249321832719,0.020803322207194004,-700.564043018192,21805.263770599817,0.2790509056184769,-1.101027863244554
