Time Stamp,Voltage,Last Stable Current
4371686,56.28461829,
4371718,56.28461829,
4371749,56.28689509,
4371781,56.28461829,
4371812,56.28461829,
4371843,56.28461829,
4371875,56.28461829,
4371906,56.28689509,
4371938,56.2823415,
4371969,56.28461829,
4372001,56.28461829,
4372125,56.28689509,
4372257,56.2823415,
4372289,56.28006471,
4372320,56.2823415,
4372352,56.28461829,
4372383,56.28461829,
4372414,56.28461829,
4372446,56.2823415,
4372477,56.28689509,
4372509,56.28461829,
4372540,56.28461829,
4372571,56.28461829,
4372603,56.2823415,
4372634,56.28689509,
4372666,56.28461829,
4372697,56.28461829,
4372729,56.2823415,
4372760,56.28689509,
4372791,56.2823415,
4372823,56.2823415,
4372946,56.2823415,
4373077,56.28461829,
4373109,56.28689509,
4373140,56.28461829,
4373171,56.28461829,
4373203,56.2823415,
4373234,56.28461829,
4373266,56.28461829,
4373297,56.28689509,
4373329,56.2823415,
4373360,56.28461829,
4373391,56.2823415,
4373423,56.28461829,
4373454,56.2823415,
4373486,56.2823415,
4373517,56.2823415,
4373549,56.28006471,
4373580,56.2823415,
4373611,56.28461829,
4373643,56.2823415,
4373766,56.2823415,
4373897,56.28689509,
4373929,56.28461829,
4373961,56.28689509,
4373992,56.28461829,
4374023,56.28461829,
4374055,56.28461829,
4374087,56.2823415,
4374118,56.28461829,
4374150,56.28461829,
4374181,56.2823415,
4374212,56.28461829,
4374244,56.28689509,
4374275,56.28461829,
4374306,56.28461829,
4374338,56.2823415,
4374370,56.2823415,
4374401,56.28461829,
4374432,56.2823415,
4374464,56.28689509,
4374589,56.28689509,
4374720,56.28689509,
4374752,56.2823415,
4374784,56.28461829,
4374815,56.28461829,
4374847,56.28461829,
4374878,56.28689509,
4374909,56.2823415,
4374941,56.2823415,
4374972,56.2823415,
4375004,56.28461829,
4375035,56.2823415,
4375067,56.28461829,
4375098,56.28461829,
4375129,56.28461829,
4375161,56.28461829,
4375192,56.2823415,
4375224,56.28461829,
4375255,56.2823415,
4375287,56.2823415,
4375397,56.28689509,
4375528,56.28461829,
4375559,56.28461829,
4375591,56.28461829,
4375623,56.2823415,
4375654,56.28461829,
4375686,56.28461829,
4375717,56.28461829,
4375748,56.28461829,
4375780,56.2823415,
4375811,56.28461829,
4375842,56.2823415,
4375874,56.28461829,
4375906,56.28461829,
4375937,56.28689509,
4375968,56.28461829,
4376000,56.28461829,
4376031,56.28461829,
4376063,56.28461829,
4376094,56.28461829,
4376220,56.28917188,
4376351,56.28461829,
4376384,56.28689509,
4376415,56.28461829,
4376446,56.28689509,
4376478,56.28689509,
4376509,56.2823415,
4376541,56.28689509,
4376572,56.28461829,
4376604,56.28461829,
4376635,56.28689509,
4376666,56.28689509,
4376698,56.28461829,
4376729,56.28461829,
4376761,56.28689509,
4376792,56.28461829,
4376824,56.28461829,
4376855,56.2823415,
4376886,56.28461829,
4376918,56.28461829,
4377061,56.2823415,
4377192,56.28689509,
4377225,56.28461829,
4377256,56.2823415,
4377288,56.2823415,
4377319,56.28461829,
4377351,56.2823415,
4377382,56.28689509,
4377414,56.2823415,
4377445,56.2823415,
4377476,56.28006471,
4377508,56.28461829,
4377539,56.28461829,
4377571,56.28461829,
4377602,56.28461829,
4377634,56.28461829,
4377665,56.28461829,
4377696,56.28461829,
4377728,56.28689509,
4377759,56.28461829,
4379205,56.28461829,
4379336,56.28461829,
4379368,56.28689509,
4379399,56.28461829,
