counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
4021128,874,32775,43912,43889,32779,32779,32783,52901,288
4021129,865,32776,43953,43883,32778,32781,32782,52902,288
4021130,866,32777,43957,43898,32778,32782,32783,52903,286
4021131,866,32775,43930,43876,32779,32782,32783,52901,288
4021132,866,32775,43922,43909,32778,32782,32781,52902,287
4021133,866,32776,43928,43849,32779,32781,32783,52901,283
4021134,866,32776,43920,43883,32778,32780,32783,52896,284
4021135,866,32775,43899,43865,32778,32781,32783,52894,288
4021136,866,32776,43959,43922,32778,32781,32784,52901,286
4021137,865,32776,43965,43851,32778,32782,32782,52901,287
4021138,869,32775,43921,43923,32779,32781,32782,52902,289
4021139,866,32776,43968,43852,32778,32782,32783,52901,289
4021140,866,32776,43935,43892,32779,32780,32784,52901,288
4021141,866,32778,43900,43826,32778,32783,32783,52897,283
4021142,866,32777,43928,43915,32779,32781,32783,52898,288
4021143,872,32776,43958,43862,32777,32781,32782,52901,288
4021144,866,32776,43953,43921,32778,32780,32782,52901,287
4021145,866,32776,43912,43854,32779,32780,32783,52903,286
4021146,866,32777,43951,43905,32780,32783,32782,52907,290
4021147,865,32775,43934,43819,32780,32781,32783,52895,286
4021148,866,32775,43910,43917,32779,32781,32782,52896,288
4021149,868,32775,43952,43845,32778,32780,32782,52901,288
4021150,868,32777,43937,43900,32778,32782,32785,52897,284
4021151,865,32775,43920,43828,32778,32782,32783,52896,284
4021152,867,32776,43908,43921,32780,32780,32783,52897,289
4021153,866,32776,43945,43839,32779,32781,32782,52902,288
4021154,866,32776,43946,43922,32778,32781,32783,52901,288
4021155,866,32775,43910,43853,32778,32781,32784,52902,288
4021156,867,32777,43935,43899,32778,32783,32782,52897,281
4021157,866,32773,43934,43823,32779,32782,32783,52900,294
4021158,873,32775,43936,43926,32779,32781,32783,52900,287
4021159,865,32776,43914,43853,32780,32781,32784,52901,287
4021160,866,32775,43939,43927,32779,32783,32783,52902,287
4021161,866,32775,43930,43844,32778,32781,32781,52900,287
4021162,868,32774,43877,43898,32777,32781,32782,52902,283
4021163,866,32775,43919,43818,32778,32780,32784,52896,283
4021164,864,32776,43948,43915,32777,32781,32783,52901,287
4021165,866,32776,43909,43842,32778,32781,32783,52900,287
4021166,865,32775,43931,43906,32779,32782,32782,52899,288
4021167,866,32774,43935,43830,32779,32782,32781,52900,289
4021168,866,32773,43884,43875,32779,32782,32782,52901,290
4021169,866,32775,43923,43807,32778,32779,32783,52894,283
4021170,867,32776,43959,43903,32777,32780,32783,52900,287
4021171,865,32775,43936,43836,32779,32782,32783,52900,286
4021172,866,32776,43896,43901,32779,32783,32781,52902,287
4021173,872,32775,43949,43837,32779,32782,32782,52902,288
4021174,868,32776,43924,43890,32778,32783,32783,52904,288
4021175,866,32775,43905,43802,32780,32781,32783,52895,285
4021176,868,32775,43938,43907,32779,32781,32782,52898,287
4021177,866,32775,43957,43839,32778,32781,32783,52901,288
4021178,866,32777,43927,43909,32777,32781,32782,52902,288
4021179,865,32777,43911,43836,32779,32781,32783,52901,287
4021180,867,32776,43949,43884,32779,32784,32783,52900,289
