SoC,OCV
0.119,48.5096677037667
0.12,48.50991495306318
0.121,48.51016220086707
0.122,48.510409447176976
0.123,48.510656691991485
0.124,48.51090393530921
0.125,48.511151177128745
0.126,48.511398417448675
0.127,48.51164565626763
0.128,48.51189289358418
0.129,48.51214012939695
0.13,48.512387363704526
0.131,48.51263459650551
0.132,48.51288182779849
0.133,48.51312905758208
0.134,48.51337628585487
0.135,48.51362351261547
0.136,48.51387073786247
0.137,48.51411796159448
0.138,48.514365183810085
0.139,48.5146124045079
0.14,48.514859623686505
0.141,48.515106841344526
0.142,48.51535405748054
0.143,48.51560127209316
0.144,48.515848485180975
0.145,48.51609569674259
0.146,48.5163429067766
0.147,48.51659011528161
0.148,48.516837322256215
0.149,48.51708452769902
0.15,48.51733173160862
0.151,48.517578933983614
0.152,48.517826134822606
0.153,48.51807333412419
0.154,48.51832053188698
0.155,48.51856772810955
0.156,48.51881492279052
0.157,48.51906211592848
0.158,48.51930930752203
0.159,48.51955649756978
0.16,48.51980368607032
0.161,48.520050873022235
0.162,48.52029805842415
0.163,48.520545242274665
0.164,48.520792424572356
0.165,48.52103960531584
0.166,48.52128678450371
0.167,48.52153396213456
0.168,48.52178113820701
0.169,48.52202831271964
0.17,48.52227548567106
0.171,48.52252265705986
0.172,48.52276982688465
0.173,48.52301699514401
0.174,48.52326416183657
0.175,48.52351132696091
0.176,48.523758490515625
0.177,48.52400565249934
0.178,48.52425281291062
0.179,48.52449997174808
0.18,48.52474712901033
0.181,48.52499428469596
0.182,48.525241438803555
0.183,48.52548859133174
0.184,48.525735742279096
0.185,48.52598289164424
0.186,48.526230039425755
0.187,48.52647718562225
0.188,48.52672433023231
0.189,48.52697147325456
0.19,48.52721861468758
0.191,48.52746575452997
0.192,48.52771289278034
0.193,48.52796002943728
0.194,48.5282071644994
0.195,48.52845429796529
0.196,48.528701429833546
0.197,48.52894856010278
0.198,48.52919568877158
0.199,48.52944281583856
0.2,48.5296899413023
0.201,48.529937065161405
0.202,48.530184187414484
0.203,48.53043130806013
0.204,48.53067842709695
0.205,48.530925544523534
0.206,48.53117266033848
0.207,48.531419774540396
0.208,48.53166688712787
0.209,48.53191399809952
