date,time,time_passed_since_start,Current Out 1,Current Out 2,Current In 1,Current In 2,Voltage,Lost Data
2026-02-25,14:31:51.542086,23032,-0.082499999,1.046250057,3.045,0.978750038,57.15225,0
2026-02-25,14:31:51.542086,24119,-0.06375,1.064999962,3.075,1.139999962,57.15,0
2026-02-25,14:31:51.542086,25206,-0.089999998,1.046250057,3.059999847,1.057499981,57.15,0
2026-02-25,14:31:51.542086,26295,-0.12,1.061250019,3.0375,1.06875,57.15,0
2026-02-25,14:34:04.710188,0,0.00375,1.057499981,3.075,0.96,57.11625,0
2026-02-25,14:34:04.710188,1086,0.015,1.173750019,3.075,1.173750019,65.26801,0
2026-02-25,14:34:04.710188,2171,0.00375,1.155000019,3.093749809,1.192500019,57.1275,0
2026-02-25,14:34:04.710188,3255,-0.03,1.061250019,3.093749809,1.0875,57.132,0
2026-02-25,14:34:04.710188,4342,-0.03,1.00875,3.104999924,0.97125,57.1365,0
2026-02-25,14:34:10.222974,5511,-0.01875,1.158749962,3.078750038,1.196250057,57.13875,0
2026-02-25,14:34:10.222974,6597,-0.0375,1.06875,3.052499962,1.102500057,57.1455,0
2026-02-25,14:34:10.222974,7684,-0.015,1.001249981,3.082500076,0.975,57.14325,0
2026-02-25,14:34:10.222974,8771,-0.026249999,1.139999962,3.120000076,1.14375,57.1455,0
2026-02-25,14:34:10.222974,9859,-0.06,1.094999981,3.067499924,1.121250057,57.14775,0
2026-02-25,14:34:15.728596,11026,-0.03,0.9975,3.078750038,0.967500019,57.15,0
2026-02-25,14:34:15.728596,12113,-0.041249999,1.155000019,3.05625,1.166250038,57.15225,0
2026-02-25,14:34:15.728596,13200,-0.097500002,1.0875,3.045,1.117500019,57.15225,0
2026-02-25,14:34:15.728596,14287,-0.05625,0.99375,3.059999847,0.963750076,57.15225,0
2026-02-25,14:34:15.728596,15376,-0.048750001,1.151249981,3.05625,1.177500057,57.1545,0
2026-02-25,14:34:21.203027,16529,-0.082499999,0.9975,3.075,0.967500019,57.159,0
2026-02-25,14:34:21.203027,17616,-0.089999998,1.13625,3.059999847,1.147499943,57.15675,0
2026-02-25,14:34:21.203027,18703,-0.078750002,1.113750076,3.026250076,1.151249981,57.159,0
2026-02-25,14:34:21.203027,19790,-0.075,0.989999962,3.07125,0.96,57.1635,0
2026-02-25,14:34:21.203027,20877,-0.078750002,1.10625,3.052499962,1.091250038,57.16125,0
2026-02-25,14:34:26.698210,22014,-0.05625,1.001249981,3.052499962,0.967500019,57.16125,0
2026-02-25,14:34:26.698210,23101,-0.075,1.147499943,3.07125,1.166250038,57.1635,0
2026-02-25,14:34:26.698210,24190,-0.071249998,1.03125,3.033750153,1.05375,57.16575,0
2026-02-25,14:34:26.698210,25277,-0.044999999,1.005000019,3.067499924,0.97125,57.16575,0
2026-02-25,14:34:26.698210,26364,-0.067500001,1.147499943,3.05625,1.177500057,57.16125,0
2026-02-25,14:34:32.170786,27500,-0.078750002,1.046250057,3.067499924,1.016250038,57.1635,0
2026-02-25,14:34:32.170786,28587,-0.052499998,1.147499943,3.014999962,1.177500057,57.1635,0
2026-02-25,14:34:32.170786,29674,-0.075,1.016250038,3.05625,1.0125,57.168,0
2026-02-25,14:34:32.170786,30763,-0.05625,1.080000019,3.048750114,1.046250057,57.16575,0
2026-02-25,14:34:32.170786,31850,-0.067500001,1.155000019,3.003750229,1.188750076,57.16575,0
2026-02-25,14:34:37.656975,32985,-0.06375,1.10625,3.120000076,1.083749962,57.16575,0
2026-02-25,14:34:37.656975,34072,-0.075,1.147499943,3.210000229,1.177500057,57.16575,0
2026-02-25,14:34:37.656975,35159,-0.071249998,0.986250019,3.123750114,0.963750076,57.168,0
2026-02-25,14:34:37.656975,36247,-0.06,1.121250057,3.0225,1.102500057,57.168,0
2026-02-25,14:34:37.656975,37335,-0.075,1.121250057,3.011249924,1.169999981,57.168,0
2026-02-25,14:34:43.145718,38470,-0.06375,1.147499943,3.0975,1.151249981,57.17025,0
2026-02-25,14:34:43.145718,39559,-0.093750006,1.05375,3.026250076,1.094999981,57.168,0
2026-02-25,14:34:43.145718,40646,-0.067500001,0.99375,2.985000038,0.95625,57.17025,0
2026-02-25,14:34:43.145718,41733,-0.067500001,1.151249981,3.063749886,1.173750019,57.168,0
2026-02-25,14:34:43.145718,42822,-0.086249995,1.023750019,2.947500038,1.05,57.17025,0
2026-02-25,14:34:48.624042,43957,-0.082499999,1.147499943,2.969999886,1.196250057,57.17025,0
2026-02-25,14:34:48.624042,45044,-0.082499999,1.00875,2.988750076,1.001249981,57.1725,0
2026-02-25,14:34:48.624042,46132,-0.06375,1.064999962,3.09,1.038750076,57.17025,0
2026-02-25,14:34:48.624042,47220,-0.082499999,1.147499943,3.01875,1.185000038,57.17025,0
2026-02-25,14:34:48.624042,48307,-0.089999998,0.986250019,3.052499962,0.978750038,57.1725,0
2026-02-25,14:34:54.113938,49443,-0.093750006,1.10625,3.000000191,1.139999962,57.17025,0
2026-02-25,14:34:54.113938,50530,-0.026249999,0.989999962,3.026250076,0.95625,57.17025,0
2026-02-25,14:34:54.113938,51616,-0.0375,1.113750076,3.033750153,1.098750019,57.17025,0
2026-02-25,14:34:54.113938,52703,-0.089999998,1.132499981,2.988750076,1.18125,57.17025,0
2026-02-25,14:34:54.113938,53791,-0.089999998,0.982499981,3.052499962,0.952500057,57.1725,0
2026-02-25,14:34:59.604626,54926,-0.089999998,1.10625,3.014999962,1.147499943,57.17025,0
2026-02-25,14:34:59.604626,56013,-0.071249998,0.986250019,3.045,0.96,57.1725,0
2026-02-25,14:34:59.604626,57100,-0.041249999,1.13625,3.078750038,1.139999962,57.17025,0
2026-02-25,14:34:59.604626,58188,-0.071249998,1.064999962,2.879999924,1.091250038,57.1725,0
2026-02-25,14:34:59.604626,59275,-0.078750002,0.989999962,3.07125,0.96,57.1725,0
