date,time,time_passed_since_start,Volt Reading 1,Current Out 1,Volt Reading 2,Current Out 2,Volt Reading 3,Current In 1,Volt Reading 4,Current In 2,Voltage,Lost Data
2026-02-25,16:41:44.947740,150911,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:41:50.464758,152116,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:41:50.464758,153194,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:41:50.464758,154273,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:41:50.464758,155351,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:41:50.464758,156429,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:41:56.296276,157626,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:41:56.296276,158703,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:41:56.296276,159783,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:41:56.296276,160860,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:41:56.296276,161938,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:01.986548,163459,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:01.986548,164537,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:01.986548,165615,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:01.986548,166693,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:01.986548,167772,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:07.914806,169584,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:07.914806,170662,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:07.914806,171739,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:07.914806,172817,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:07.914806,173895,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:13.912307,175077,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:13.912307,176155,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:13.912307,177233,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:13.912307,178311,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:13.912307,179388,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:19.855800,181080,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:19.855800,182158,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:42:19.855800,183236,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:19.855800,184313,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:19.855800,185393,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:25.596062,187020,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:25.596062,188098,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:25.596062,189176,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:25.596062,190254,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:25.596062,191333,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:31.519872,192758,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:31.519872,193836,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:31.519872,194913,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:31.519872,195991,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:31.519872,197070,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:36.970713,198686,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:36.970713,199764,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:36.970713,200842,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:36.970713,201920,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:36.970713,202999,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:42.502582,204151,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:42.502582,205229,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:42:42.502582,206308,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:42.502582,207386,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:42.502582,208463,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:48.517270,209686,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:48.517270,210766,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:48.517270,211843,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:42:48.517270,212921,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:48.517270,213999,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:53.967219,215682,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:42:53.967219,216761,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:53.967219,217838,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:53.967219,218916,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:53.967219,219995,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:59.644448,221134,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:59.644448,222211,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:59.644448,223291,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:42:59.644448,224368,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:42:59.644448,225446,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:43:05.161627,226810,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:43:05.161627,227887,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:43:05.161627,228965,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:43:05.161627,230044,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:43:05.161627,231122,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:43:10.735906,232361,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:10.735906,233439,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:43:10.735906,234517,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:10.735906,235596,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:43:10.735906,236674,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:16.396705,237909,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:43:16.396705,238987,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:16.396705,240066,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:43:16.396705,241144,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:16.396705,242222,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:21.951553,243595,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:21.951553,244673,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:21.951553,245750,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:21.951553,246830,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:21.951553,247907,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:43:27.546692,249262,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:27.546692,250341,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:27.546692,251419,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:27.546692,252497,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:27.546692,253576,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:33.188728,254715,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:33.188728,255793,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:33.188728,256872,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:33.188728,257950,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:33.188728,259028,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:38.667737,260365,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:38.667737,261443,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:38.667737,262521,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:38.667737,263599,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:38.667737,264678,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:44.136386,265841,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:44.136386,266920,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:44.136386,267998,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:44.136386,269075,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:44.136386,270152,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:43:50.179502,271585,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:43:50.179502,272664,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:50.179502,273742,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:43:50.179502,274820,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:43:50.179502,275898,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:55.623384,277346,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:55.623384,278424,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:43:55.623384,279501,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:43:55.623384,280579,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:43:55.623384,281659,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:01.734039,282794,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:01.734039,283872,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:01.734039,284951,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:01.734039,286029,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:01.734039,287107,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:07.408154,288992,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:07.408154,290071,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:07.408154,291149,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:07.408154,292227,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:07.408154,293305,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:13.025792,294720,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:13.025792,295797,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:13.025792,296875,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:13.025792,297953,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:13.025792,299030,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:18.644686,300227,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:18.644686,301306,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:18.644686,302384,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:18.644686,303461,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:18.644686,304538,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:25.029551,306094,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:25.029551,307172,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:25.029551,308249,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:44:25.029551,309329,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:44:25.029551,310407,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:44:30.724425,312249,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:30.724425,313327,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:30.724425,314407,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:30.724425,315484,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:30.724425,316562,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:36.245601,317899,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:44:36.245601,318977,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:36.245601,320055,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:36.245601,321133,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:36.245601,322212,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:41.792058,323418,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:41.792058,324495,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:41.792058,325573,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:41.792058,326651,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:41.792058,327730,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:47.712786,328973,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:47.712786,330050,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:47.712786,331128,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:47.712786,332206,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:47.712786,333285,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:54.055612,334883,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:54.055612,335961,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:54.055612,337039,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:54.055612,338117,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:54.055612,339196,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:59.608665,341321,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:59.608665,342399,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:44:59.608665,343476,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:59.608665,344555,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:44:59.608665,345633,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:05.057339,346779,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:05.057339,347856,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:05.057339,348934,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:05.057339,350012,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:05.057339,351091,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:10.559124,352252,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:10.559124,353332,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:10.559124,354410,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:45:10.559124,355487,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:45:10.559124,356565,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:16.069235,357734,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:16.069235,358812,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:16.069235,359891,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:16.069235,360969,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:16.069235,362046,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:21.725087,363248,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:21.725087,364326,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:21.725087,365406,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:21.725087,366484,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:21.725087,367561,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:27.207422,368897,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:27.207422,369975,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:45:27.207422,371052,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:27.207422,372130,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:27.207422,373209,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:32.662068,374380,0,0,0,0,0,0,0,0,57.98898,0
2026-02-25,16:45:32.662068,375459,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:32.662068,376537,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:32.662068,377615,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:32.662068,378692,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:38.361207,379838,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:38.361207,380915,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:38.361207,381995,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:38.361207,383072,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:38.361207,384150,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:43.842098,385534,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:43.842098,386612,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:45:43.842098,387690,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:45:43.842098,388769,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:45:43.842098,389847,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:45:49.331010,391040,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:49.331010,392118,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:49.331010,393196,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:49.331010,394276,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:49.331010,395354,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:55.295642,396517,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:45:55.295642,397596,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:55.295642,398674,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:45:55.295642,399752,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:45:55.295642,400830,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:00.739751,402469,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:00.739751,403547,0,0,0,0,0,0,0,0,57.99355,0
