SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
52.168,0.060479867470794375,0.03939132170288696,0.027687031684351607,619.6735110555609,7399.120072568866,23.301102843430087,222.08720078517288,0.3990392811388177,0.3180467964631971
52.169,0.06047915963613292,0.03939146350120601,0.027687079462438025,619.6727646846347,7399.076163073682,23.301167229043248,222.08769362011964,0.3990404628329686,0.3180467572164135
52.17,0.060478451761173946,0.039391605339571215,0.027687127344863303,619.6720180212418,7399.032245970512,23.301231643678403,222.08818667591768,0.399041644347281,0.31804671801093004
52.171,0.060477743845925934,0.039391747217980166,0.027687175331627067,619.6712710653821,7398.988321259355,23.301296087334624,222.08867995255815,0.3990428256817329,0.3180466788467445
52.172,0.06047703589039737,0.03939188913643045,0.02768722342272894,619.6705238170558,7398.944388940212,23.301360560010984,222.08917345003215,0.39904400683630215,0.31804663972385455
52.173,0.06047632789459675,0.03939203109491966,0.027687271618168537,619.6697762762627,7398.900449013081,23.30142506170656,222.08966716833083,0.39904518781096693,0.31804660064225804
52.174,0.06047561985853255,0.03939217309344541,0.027687319917945482,619.6690284430028,7398.856501477965,23.30148959242042,222.09016110744528,0.3990463686057051,0.31804656160195277
52.175,0.06047491178221327,0.039392315132005265,0.027687368322059393,619.6682803172764,7398.8125463348615,23.301554152151642,222.0906552673666,0.39904754922049473,0.3180465226029366
52.176,0.06047420366564739,0.03939245721059684,0.027687416830509886,619.6675318990831,7398.768583583772,23.301618740899293,222.0911496480859,0.39904872965531385,0.3180464836452072
52.177,0.060473495508843414,0.03939259932921771,0.02768746544329658,619.6667831884231,7398.7246132246955,23.301683358662448,222.09164424959425,0.3990499099101404,0.3180464447287624
52.178,0.06047278731180983,0.03939274148786548,0.02768751416041909,619.6660341852964,7398.680635257633,23.301748005440178,222.0921390718828,0.3990510899849523,0.31804640585360006
52.179,0.06047207907455512,0.03939288368653774,0.027687562981877033,619.665284889703,7398.636649682584,23.301812681231553,222.0926341149426,0.39905226987972775,0.3180463670197179
52.18,0.06047137079708779,0.03939302592523208,0.02768761190767002,619.6645353016428,7398.592656499548,23.301877386035645,222.09312937876473,0.39905344959444455,0.3180463282271137
52.181,0.060470662479416334,0.03939316820394608,0.02768766093779767,619.6637854211159,7398.548655708526,23.30194211985152,222.0936248633403,0.39905462912908085,0.31804628947578534
52.182,0.06046995412154924,0.03939331052267735,0.02768771007225959,619.6630352481224,7398.504647309516,23.302006882678253,222.09412056866037,0.39905580848361455,0.31804625076573045
52.183,0.06046924572349501,0.03939345288142346,0.027687759311055396,619.662284782662,7398.4606313025215,23.30207167451491,222.094616494716,0.39905698765802367,0.318046212096947
