SoC,OCV
0.199,46.7069009936068
0.2,46.70694166486716
0.201,46.70698237943909
0.202,46.70702313731542
0.203,46.70706393848896
0.204,46.70710478295251
0.205,46.7071456706989
0.206,46.70718660172095
0.207,46.70722757601144
0.208,46.70726859356322
0.209,46.70730965436909
0.21,46.70735075842186
0.211,46.70739190571433
0.212,46.707433096239356
0.213,46.70747432998971
0.214,46.70751560695822
0.215,46.7075569271377
0.216,46.70759829052096
0.217,46.707639697100824
0.218,46.7076811468701
0.219,46.70772263982159
0.22,46.707764175948114
0.221,46.707805755242504
0.222,46.70784737769755
0.223,46.70788904330607
0.224,46.70793075206089
0.225,46.70797250395481
0.226,46.708014298980636
0.227,46.70805613713121
0.228,46.70809801839932
0.229,46.70813994277779
0.23,46.70818191025944
0.231,46.70822392083706
0.232,46.70826597450348
0.233,46.70830807125153
0.234,46.708350211073984
0.235,46.708392393963685
0.236,46.70843461991345
0.237,46.70847688891607
0.238,46.70851920096437
0.239,46.708561556051166
0.24,46.70860395416926
0.241,46.70864639531149
0.242,46.70868887947064
0.243,46.708731406639544
0.244,46.708773976811
0.245,46.70881658997784
0.246,46.70885924613286
0.247,46.708901945268885
0.248,46.70894468737873
0.249,46.70898747245519
0.25,46.7090303004911
0.251,46.70907317147927
0.252,46.7091160854125
0.253,46.7091590422836
0.254,46.70920204208542
0.255,46.70924508481073
0.256,46.70928817045237
0.257,46.709331299003146
0.258,46.70937447045587
0.259,46.70941768480335
0.26,46.70946094203842
0.261,46.70950424215386
0.262,46.709547585142516
0.263,46.7095909709972
0.264,46.709634399710694
0.265,46.70967787127584
0.266,46.70972138568544
0.267,46.70976494293231
0.268,46.70980854300927
0.269,46.70985218590912
0.27,46.70989587162469
0.271,46.70993960014877
0.272,46.7099833714742
0.273,46.71002718559378
0.274,46.710071042500324
0.275,46.71011494218664
0.276,46.71015888464556
0.277,46.710202869869875
0.278,46.71024689785241
0.279,46.71029096858597
0.28,46.710335082063395
0.281,46.71037923827746
0.282,46.71042343722101
0.283,46.71046767888685
0.284,46.71051196326778
0.285,46.71055629035662
0.286,46.71060066014619
0.287,46.710645072629305
0.288,46.71068952779876
