counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
11479,867,34689,32777,30718,32780,32782,32781,55670,283
11480,866,34716,32776,30731,32780,32783,32784,55660,283
11481,866,34726,32775,30760,32778,32782,32784,55660,286
11482,865,34688,32774,30747,32778,32781,32784,55663,287
11483,866,34729,32775,30671,32778,32782,32783,55669,292
11484,862,34712,32776,30674,32777,32782,32784,55669,282
11485,864,34681,32777,30735,32778,32782,32786,55666,283
11486,865,34709,32776,30755,32778,32782,32784,55663,281
11487,868,34709,32775,30754,32777,32782,32782,55660,285
11488,871,34687,32775,30683,32778,32781,32783,55662,295
11489,862,34746,32775,30751,32779,32783,32782,55664,288
11490,866,34714,32775,30763,32778,32784,32782,55673,289
11491,866,34679,32775,30773,32775,32782,32781,55671,294
11492,867,34731,32775,30730,32777,32780,32784,55662,287
11493,866,34717,32775,30710,32776,32782,32782,55669,290
11494,866,34673,32776,30759,32777,32783,32783,55667,285
11495,863,34732,32776,30804,32776,32782,32782,55660,287
11496,866,34735,32775,30799,32777,32783,32782,55669,287
11497,863,34742,32776,30737,32777,32782,32783,55668,287
11498,866,34713,32776,30739,32776,32782,32782,55669,287
11499,866,34733,32776,30795,32776,32782,32783,55669,287
11500,865,34709,32776,30754,32777,32783,32783,55664,280
11501,866,34686,32775,30709,32776,32783,32782,55667,292
11502,867,34758,32775,30725,32777,32782,32784,55665,287
11503,872,34702,32776,30720,32777,32783,32783,55670,288
11504,866,34692,32776,30747,32776,32784,32781,55668,290
11505,867,34738,32775,30765,32778,32781,32782,55662,288
11506,866,34690,32776,30682,32776,32782,32782,55673,293
11507,865,34689,32775,30722,32777,32783,32783,55665,280
11508,897,34754,32776,30810,32776,32783,32782,55655,288
11509,867,34683,32776,30672,32778,32781,32783,55685,293
11510,866,34713,32777,30714,32776,32781,32783,55662,283
11511,865,34691,32776,30761,32777,32782,32783,55663,283
11512,866,34690,32777,30753,32779,32782,32785,55672,289
11513,866,34709,32776,30682,32778,32782,32784,55659,281
11514,864,34716,32775,30705,32778,32782,32783,55668,283
11515,864,34684,32775,30747,32777,32783,32783,55664,283
11516,866,34716,32775,30776,32775,32780,32782,55647,288
11517,868,34694,32776,30730,32779,32781,32784,55665,282
11518,862,34661,32775,30689,32777,32783,32782,55670,291
11519,917,34754,32774,30776,32776,32781,32783,55661,274
11520,866,34701,32775,30689,32779,32782,32784,55665,284
11521,865,34729,32775,30727,32778,32782,32784,55658,283
11522,866,34673,32776,30751,32778,32781,32783,55664,286
11523,866,34704,32776,30774,32778,32783,32783,55665,292
11524,914,34725,32775,30789,32779,32782,32784,55656,288
11525,867,34722,32775,30767,32777,32782,32782,55668,291
11526,866,34680,32775,30679,32778,32783,32783,55663,293
11527,875,34728,32774,30717,32776,32781,32782,55676,283
11528,866,34711,32775,30748,32776,32785,32784,55668,299
11529,866,34671,32774,30752,32778,32783,32783,55670,287
11530,864,34704,32776,30673,32778,32781,32783,55668,280
11531,867,34718,32776,30697,32778,32784,32783,55662,277
11532,910,34692,32776,30724,32776,32782,32782,55659,287
11533,865,34707,32777,30693,32777,32781,32784,55667,291
11534,866,34666,32776,30739,32777,32781,32783,55667,287
11535,869,34713,32774,30736,32776,32784,32782,55679,287
11536,866,34706,32773,30743,32778,32783,32782,55659,289
11537,866,34672,32775,30673,32778,32783,32782,55664,291
11538,866,34717,32774,30707,32778,32782,32781,55667,280
11539,866,34717,32775,30755,32778,32783,32781,55666,288
11540,930,34698,32775,30778,32777,32782,32782,55660,287
11541,867,34689,32775,30757,32778,32785,32782,55668,291
11542,866,34702,32775,30701,32777,32784,32781,55670,291
11543,868,34701,32775,30696,32779,32782,32781,55668,287
11544,866,34690,32776,30753,32778,32782,32782,55667,284
11545,914,34741,32774,30738,32778,32781,32783,55655,288
11546,866,34753,32777,30786,32778,32781,32783,55668,289
11547,866,34707,32777,30771,32778,32783,32783,55667,294
11548,865,34677,32775,30719,32778,32781,32784,55661,283
11549,863,34712,32776,30673,32777,32784,32782,55674,291
11550,871,34711,32777,30717,32778,32783,32784,55663,279
11551,869,34713,32775,30789,32777,32782,32784,55654,299
11552,862,34719,32775,30759,32778,32781,32782,55663,284
11553,866,34708,32776,30692,32779,32783,32783,55664,286
11554,866,34661,32774,30695,32778,32782,32782,55668,291
11555,866,34719,32774,30734,32776,32784,32782,55670,290
11556,864,34739,32776,30774,32776,32780,32781,55683,290
11557,866,34650,32776,30732,32779,32782,32783,55661,285
11558,865,34701,32775,30685,32779,32783,32782,55667,286
11559,868,34710,32776,30738,32779,32782,32783,55668,287
11560,866,34655,32775,30760,32778,32783,32782,55661,288
11561,917,34726,32775,30779,32777,32781,32782,55658,288
11562,863,34685,32774,30758,32777,32783,32781,55665,292
11563,866,34722,32775,30747,32778,32783,32783,55661,285
11564,868,34688,32774,30664,32776,32781,32784,55675,282
11565,866,34695,32777,30712,32778,32782,32784,55668,289
11566,866,34719,32776,30749,32778,32782,32784,55667,286
11567,865,34708,32776,30779,32777,32783,32783,55671,291
11568,866,34700,32777,30742,32778,32782,32785,55661,283
11569,927,34752,32775,30794,32778,32781,32782,55657,288
11570,867,34709,32777,30691,32777,32782,32783,55662,285
11571,866,34672,32776,30716,32776,32782,32783,55671,291
11572,867,34696,32776,30766,32777,32783,32782,55676,292
11573,866,34714,32776,30772,32777,32783,32783,55667,283
11574,865,34706,32775,30686,32777,32784,32782,55670,285
11575,867,34723,32775,30701,32779,32783,32782,55668,282
11576,866,34718,32775,30762,32778,32782,32783,55660,279
11577,866,34728,32775,30805,32778,32783,32783,55659,287
11578,864,34692,32774,30730,32778,32784,32782,55668,290
11579,862,34719,32776,30690,32778,32783,32784,55660,289
11580,866,34719,32775,30696,32778,32781,32784,55668,283
11581,864,34688,32775,30757,32779,32783,32783,55662,282
11582,866,34710,32772,30793,32778,32784,32782,55646,288
11583,867,34704,32775,30715,32780,32782,32783,55669,286
11584,866,34675,32777,30682,32780,32780,32783,55659,281
11585,912,34694,32780,30743,32778,32780,32781,55681,285
11586,866,34710,32775,30689,32778,32782,32782,55663,282
11587,864,34719,32775,30724,32778,32784,32782,55664,287
11588,868,34698,32779,30782,32777,32781,32779,55684,287
11589,865,34701,32773,30776,32776,32782,32781,55670,294
11590,866,34698,32774,30694,32778,32782,32782,55664,291
11591,865,34665,32775,30709,32776,32783,32781,55667,297
11592,866,34696,32776,30745,32778,32782,32781,55672,288
11593,929,34735,32775,30797,32778,32782,32783,55657,288
11594,867,34690,32776,30788,32779,32781,32782,55661,285
11595,866,34635,32775,30772,32780,32782,32782,55666,299
11596,864,34675,32777,30725,32779,32781,32782,55672,288
11597,865,34710,32776,30736,32779,32781,32782,55666,289
11598,896,34680,32777,30840,32778,32782,32782,55647,287
11599,864,34687,32776,30699,32777,32782,32784,55663,291
11600,866,34648,32776,30728,32779,32783,32784,55659,295
11601,866,34670,32775,30770,32779,32782,32781,55668,294
11602,867,34678,32774,30799,32779,32782,32781,55668,293
11603,921,34707,32779,30817,32777,32782,32779,55681,291
11604,866,34644,32775,30792,32776,32782,32783,55660,280
11605,868,34683,32776,30689,32779,32782,32783,55663,299
11606,866,34766,32774,30754,32778,32782,32784,55666,287
11607,862,34707,32775,30795,32777,32782,32782,55668,285
11608,866,34723,32774,30805,32777,32784,32783,55669,286
11609,866,34739,32776,30756,32778,32782,32783,55667,287
11610,866,34724,32775,30739,32777,32784,32782,55666,286
11611,865,34717,32775,30768,32777,32782,32782,55669,288
11612,865,34711,32775,30767,32778,32783,32783,55664,281
11613,866,34695,32775,30775,32778,32784,32783,55661,291
11614,865,34712,32775,30722,32778,32781,32782,55662,288
11615,866,34753,32775,30732,32779,32782,32782,55669,288
11616,866,34723,32775,30781,32777,32782,32781,55669,288
11617,865,34702,32775,30790,32777,32783,32782,55669,287
11618,866,34717,32775,30715,32778,32782,32782,55677,297
11619,866,34699,32775,30695,32778,32782,32783,55662,285
11620,865,34674,32775,30723,32776,32781,32782,55647,289
11621,867,34744,32776,30808,32777,32781,32783,55669,287
11622,866,34735,32775,30817,32776,32782,32783,55669,287
11623,868,34704,32775,30733,32777,32783,32783,55670,286
11624,866,34750,32776,30749,32777,32783,32783,55669,286
11625,866,34711,32774,30755,32778,32782,32784,55664,285
11626,866,34667,32774,30780,32778,32782,32783,55665,285
11627,866,34750,32775,30754,32778,32783,32781,55661,287
11628,866,34701,32776,30686,32778,32783,32781,55678,287
11629,868,34661,32775,30736,32777,32782,32781,55670,291
11630,906,34739,32776,30741,32777,32781,32783,55653,287
11631,866,34700,32775,30733,32776,32784,32782,55668,291
11632,866,34713,32775,30771,32777,32785,32784,55664,293
11633,865,34713,32774,30788,32777,32784,32782,55679,294
11634,866,34690,32774,30711,32779,32784,32782,55662,284
11635,865,34713,32775,30692,32779,32783,32783,55662,284
11636,865,34709,32775,30736,32779,32782,32783,55666,286
11637,862,34672,32775,30771,32776,32784,32783,55670,287
11638,866,34744,32775,30813,32777,32782,32783,55659,286
11639,864,34714,32776,30696,32777,32783,32783,55662,282
11640,866,34674,32774,30719,32778,32783,32782,55662,281
11641,869,34714,32776,30751,32778,32781,32783,55666,292
11642,871,34726,32778,30774,32778,32782,32783,55668,290
11643,908,34717,32775,30816,32777,32781,32782,55650,288
11644,863,34682,32774,30781,32778,32784,32782,55668,284
11645,866,34699,32774,30753,32776,32783,32783,55667,290
11646,866,34720,32774,30679,32777,32784,32782,55682,294
11647,867,34689,32775,30719,32778,32781,32783,55671,283
11648,866,34697,32774,30769,32778,32783,32782,55668,299
11649,867,34712,32776,30773,32778,32781,32784,55668,283
11650,866,34694,32776,30692,32777,32781,32784,55666,299
11651,918,34721,32776,30802,32777,32782,32783,55660,287
11652,862,34687,32776,30688,32778,32782,32783,55665,283
11653,864,34708,32776,30707,32778,32780,32784,55658,285
11654,866,34711,32776,30759,32778,32780,32784,55667,283
11655,865,34671,32776,30768,32777,32782,32782,55669,291
11656,909,34752,32774,30784,32777,32781,32782,55652,288
11657,863,34709,32774,30762,32777,32781,32782,55669,292
11658,865,34737,32774,30768,32778,32782,32782,55664,283
11659,865,34721,32774,30698,32778,32783,32780,55670,286
11660,866,34689,32774,30704,32778,32783,32782,55669,290
11661,873,34762,32777,30789,32780,32784,32782,55681,290
11662,867,34687,32775,30771,32777,32782,32783,55663,291
11663,865,34714,32776,30694,32779,32782,32782,55663,280
11664,862,34752,32776,30719,32776,32782,32782,55668,287
11665,866,34697,32777,30731,32777,32782,32783,55659,291
11666,865,34700,32776,30752,32778,32781,32783,55660,291
